"idx","id","status","prompt_tokens","completion_tokens","total_tokens","cached_tokens","reasoning_tokens","cost","model_elapsed_seconds","harness_elapsed_seconds","shard","task_dir","finish_reason","response_id","reason"
"1","cvdp_copilot_16qam_mapper_0001","PASS","1045","817","1862","0","0","0.001165365","13.737173795700073","0.12932682037353516","shard-00","01_cvdp_copilot_16qam_mapper_0001","stop","gen-1780813453-DdeJMtGOwEfrdlnhd5Qg","NA"
"2","cvdp_copilot_16qam_mapper_0006","PASS","1572","1142","2714","0","0","0.00167736","18.365952730178833","0.14140939712524414","shard-01","02_cvdp_copilot_16qam_mapper_0006","stop","gen-1780813453-ocsakPT7t6amhTHYYaVw","NA"
"3","cvdp_copilot_64b66b_encoder_0001","FAIL","858","277","1135","0","0","0.00061422","5.364888906478882","0.1347496509552002","shard-02","03_cvdp_copilot_64b66b_encoder_0001","stop","gen-1780813453-0PoCTBg4JxyASh7HQ8oN","NA"
"4","cvdp_copilot_8x3_priority_encoder_0001","PASS","357","181","538","0","0","0.000312765","3.827681541442871","0.14497041702270508","shard-03","04_cvdp_copilot_8x3_priority_encoder_0001","stop","gen-1780813453-KFEqnsjwccsNjJ0u8iKq","NA"
"5","cvdp_copilot_Carry_Lookahead_Adder_0001","PASS","613","104","717","0","0","0.000357135","2.779344320297241","0.18579864501953125","shard-04","05_cvdp_copilot_Carry_Lookahead_Adder_0001","stop","gen-1780813453-dd8raSaJWfdUb6FA8RUB","NA"
"6","cvdp_copilot_GFCM_0001","PASS","1092","491","1583","0","0","0.00090219","7.965804815292358","0.14239764213562012","shard-05","06_cvdp_copilot_GFCM_0001","stop","gen-1780813453-7idsuvh8B1u72r466zRE","NA"
"7","cvdp_copilot_apb_dsp_unit_0001","FAIL","1270","1217","2487","0","0","0.00161124","18.07163715362549","0.05090594291687012","shard-00","07_cvdp_copilot_apb_dsp_unit_0001","stop","gen-1780813466-n1EIR9d5bWiX3HBI55Kq","NA"
"8","cvdp_copilot_apb_gpio_0001","PASS","1672","1986","3658","0","0","0.00245514","28.1165509223938","0.14150357246398926","shard-01","08_cvdp_copilot_apb_gpio_0001","stop","gen-1780813471-yGatSQPcs7rwKRxdQ5L0","NA"
"9","cvdp_copilot_apb_history_shift_register_0001","FAIL","1807","1345","3152","0","0","0.001956195","17.284974098205566","0.07577157020568848","shard-02","09_cvdp_copilot_apb_history_shift_register_0001","stop","gen-1780813458-yEC2LZZhk5t5nA3ILDWO","NA"
"10","cvdp_copilot_axi_register_0001","PASS","2533","2214","4747","0","0","0.003028035","25.242562294006348","0.1520993709564209","shard-03","10_cvdp_copilot_axi_register_0001","stop","gen-1780813456-mgxdTer7L5kCKnrNc6qU","NA"
"11","cvdp_copilot_axi_stream_upscale_0001","PASS","834","592","1426","0","0","0.00087783","8.377393007278442","0.14430999755859375","shard-04","11_cvdp_copilot_axi_stream_upscale_0001","stop","gen-1780813455-42paVGX88wRzxzZBGBTD","NA"
"12","cvdp_copilot_axil_precision_counter_0001","PASS","3780","3021","6801","0","0","0.00427257","35.28373193740845","0.13836097717285156","shard-05","12_cvdp_copilot_axil_precision_counter_0001","stop","gen-1780813460-TlXisoBFg47cMe37io0N","NA"
"13","cvdp_copilot_axis_joiner_0001","PASS","1473","1819","3292","0","0","0.002223285","21.203418970108032","0.15273833274841309","shard-00","13_cvdp_copilot_axis_joiner_0001","stop","gen-1780813484-0bBWXU1FCTCPlO9I5VZa","NA"
"14","cvdp_copilot_barrel_shifter_0001","FAIL","737","139","876","0","0","0.000441525","3.0868377685546875","0.07506418228149414","shard-01","14_cvdp_copilot_barrel_shifter_0001","stop","gen-1780813499-R4VWcHhn9dRxgBW2LDbX","NA"
"15","cvdp_copilot_bcd_counter_0001","PASS","657","1005","1662","0","0","0.001160145","12.21351146697998","0.1517179012298584","shard-02","15_cvdp_copilot_bcd_counter_0001","stop","gen-1780813475-PLDSjZxoKsukFru2dS2X","NA"
"16","cvdp_copilot_bcd_to_excess_3_0001","PASS","590","117","707","0","0","0.00035844","2.4190120697021484","0.13954377174377441","shard-03","16_cvdp_copilot_bcd_to_excess_3_0001","stop","gen-1780813481-S6l1puJWdPACydQXQk8r","NA"
"17","cvdp_copilot_binary_to_one_hot_decoder_0001","FAIL","767","119","886","0","0","0.000437175","2.4288828372955322","0.06876134872436523","shard-04","17_cvdp_copilot_binary_to_one_hot_decoder_0001","stop","gen-1780813464-7Ajjs4mxPfVdjQRVD8ZX","NA"
"18","cvdp_copilot_caesar_cipher_0001","FAIL","753","339","1092","0","0","0.000622485","5.550162315368652","0.07529497146606445","shard-05","18_cvdp_copilot_caesar_cipher_0001","stop","gen-1780813496-se85KqBt3N90Eoh6I10l","NA"
"19","cvdp_copilot_car_parking_management_0001","PASS","1233","1323","2556","0","0","0.001687365","18.317829608917236","0.14313912391662598","shard-00","19_cvdp_copilot_car_parking_management_0001","stop","gen-1780813505-u7aVR4z5v3iWFrj7Vjel","NA"
"20","cvdp_copilot_cascaded_adder_0001","PASS","814","495","1309","0","0","0.00078474","7.870993375778198","0.13446784019470215","shard-01","20_cvdp_copilot_cascaded_adder_0001","stop","gen-1780813502-a90GwsNrJIAVk8y876og","NA"
"21","cvdp_copilot_clock_divider_0003","PASS","505","245","750","0","0","0.000432825","4.1163270473480225","0.1567859649658203","shard-02","21_cvdp_copilot_clock_divider_0003","stop","gen-1780813487-59APeySUgau5HRvzymq3","NA"
"22","cvdp_copilot_comparator_0001","FAIL","983","415","1398","0","0","0.000788655","5.788377523422241","0.06996393203735352","shard-03","22_cvdp_copilot_comparator_0001","stop","gen-1780813484-n5uqgcXe9eZdzDD4BG6I","NA"
"23","cvdp_copilot_complex_multiplier_0001","PASS","523","332","855","0","0","0.000516345","4.900338888168335","0.1421217918395996","shard-04","23_cvdp_copilot_complex_multiplier_0001","stop","gen-1780813466-b00i0xm2qsjW82IsBYCN","NA"
"24","cvdp_copilot_concatenate_0001","FAIL","1056","1091","2147","0","0","0.00140853","11.926993608474731","0.07576918601989746","shard-05","24_cvdp_copilot_concatenate_0001","stop","gen-1780813501-UuZRJzWJD0Xo8cxWo2ay","NA"
"25","cvdp_copilot_configurable_digital_low_pass_filter_0001","PASS","1732","656","2388","0","0","0.00132414","9.726945161819458","0.1726844310760498","shard-00","25_cvdp_copilot_configurable_digital_low_pass_filter_0001","stop","gen-1780813524-3hClDXTMeujaKT4AWs85","NA"
"26","cvdp_copilot_configurable_digital_low_pass_filter_0004","PASS","1081","677","1758","0","0","0.001059225","10.822774648666382","0.17246174812316895","shard-01","26_cvdp_copilot_configurable_digital_low_pass_filter_0004","stop","gen-1780813510-snTAOxDNISmO7kBsPiQB","NA"
"27","cvdp_copilot_configurable_digital_low_pass_filter_0014","PASS","1077","572","1649","0","0","0.000966135","7.328041076660156","0.20542192459106445","shard-02","27_cvdp_copilot_configurable_digital_low_pass_filter_0014","stop","gen-1780813492-rJdyfqftgi6BD38wANDh","NA"
"28","cvdp_copilot_convolutional_encoder_0001","FAIL","449","277","726","0","0","0.000436305","4.740930795669556","0.07585310935974121","shard-03","28_cvdp_copilot_convolutional_encoder_0001","stop","gen-1780813490-VKJ16qb177aGSMOdZOpm","NA"
"29","cvdp_copilot_data_bus_controller_0001","PASS","1080","462","1542","0","0","0.00087174","7.501703977584839","0.14791131019592285","shard-04","29_cvdp_copilot_data_bus_controller_0001","stop","gen-1780813471-efGZa0FS4y2nGdmSuOus","NA"
"30","cvdp_copilot_data_width_converter_0003","FAIL","731","333","1064","0","0","0.000607695","4.535242319107056","0.07592582702636719","shard-05","30_cvdp_copilot_data_width_converter_0003","stop","gen-1780813513-2Mtji7bxyrHv7NhW2ZO4","NA"
"31","cvdp_copilot_dbi_0001","PASS","1022","695","1717","0","0","0.00104922","9.60366702079773","0.1271052360534668","shard-00","31_cvdp_copilot_dbi_0001","stop","gen-1780813534-eRQ3ofrQ68cZSDINq5pg","NA"
"32","cvdp_copilot_decode_firstbit_0001","PASS","1500","1274","2774","0","0","0.00176088","15.827892065048218","0.1445145606994629","shard-01","32_cvdp_copilot_decode_firstbit_0001","stop","gen-1780813521-Ix8qS14DgQ6pfTKQZNlE","NA"
"33","cvdp_copilot_digital_dice_roller_0001","FAIL","616","378","994","0","0","0.00059682","5.2578229904174805","0.07488393783569336","shard-02","33_cvdp_copilot_digital_dice_roller_0001","stop","gen-1780813499-1vc5uFRjLPGw4cqGw2V8","NA"
"34","cvdp_copilot_digital_stopwatch_0001","PASS","885","497","1382","0","0","0.000817365","7.57667875289917","0.14534354209899902","shard-03","34_cvdp_copilot_digital_stopwatch_0001","stop","gen-1780813495-tWIWyaNWYeEQrI7d2EeV","NA"
"35","cvdp_copilot_edge_detector_0001","FAIL","513","210","723","0","0","0.000405855","4.109328031539917","0.07445073127746582","shard-04","35_cvdp_copilot_edge_detector_0001","stop","gen-1780813479-2udCmedKXOQodzeACtJ3","NA"
"36","cvdp_copilot_ethernet_packet_parser_0001","FAIL","1064","916","1980","0","0","0.00125976","10.626646518707275","0.14963412284851074","shard-05","36_cvdp_copilot_ethernet_packet_parser_0001","stop","gen-1780813518-tNrJCogwTRaqVCFIygSi","NA"
"37","cvdp_copilot_events_to_apb_0001","PASS","1853","1038","2891","0","0","0.001709115","13.816531658172607","0.17397594451904297","shard-00","37_cvdp_copilot_events_to_apb_0001","stop","gen-1780813544-jyZ1PfpFoB9dAtOHdSfg","NA"
"38","cvdp_copilot_factorial_0001","PASS","710","688","1398","0","0","0.00090741","10.512143850326538","0.13315176963806152","shard-01","38_cvdp_copilot_factorial_0001","stop","gen-1780813537-bbHfzJmOX4pZAtaPpISf","NA"
"39","cvdp_copilot_fibonacci_series_0001","FAIL","1052","448","1500","0","0","0.00084738","7.863313436508179","0.07516956329345703","shard-02","39_cvdp_copilot_fibonacci_series_0001","stop","gen-1780813504-n5gnVStghzr0SL7tyReE","NA"
"40","cvdp_copilot_fifo_async_0001","FAIL","590","1276","1866","0","0","0.005052336","18.516785383224487","0.1557765007019043","shard-03","40_cvdp_copilot_fifo_async_0001","stop","gen-1780813503-I3FQ0LxYRfKiQSE6WYvM","NA"
"41","cvdp_copilot_filo_0005","PASS","1887","510","2397","0","0","0.004674456","6.887444734573364","0.13440179824829102","shard-04","41_cvdp_copilot_filo_0005","stop","gen-1780813483-ZPvvtu5sAc5oGeQSJiEH","NA"
"42","cvdp_copilot_fsm_seq_detector_0001","PASS","844","678","1522","0","0","0.000957","7.5024566650390625","0.14739155769348145","shard-05","42_cvdp_copilot_fsm_seq_detector_0001","stop","gen-1780813529-4hmDqcjOxIm7Yb1Iw0x0","NA"
"43","cvdp_copilot_gcd_0001","PASS","2133","1330","3463","0","0","0.002084955","15.036610841751099","0.15564632415771484","shard-00","43_cvdp_copilot_gcd_0001","stop","gen-1780813558-hmALlMgybqUTjutV85wn","NA"
"44","cvdp_copilot_gf_multiplier_0001","FAIL","1052","372","1424","0","0","0.00078126","6.276214838027954","0.07579994201660156","shard-01","44_cvdp_copilot_gf_multiplier_0001","stop","gen-1780813548-rrnHzxcjsVkDFOcsLKJP","NA"
"45","cvdp_copilot_hamming_code_tx_and_rx_0001","PASS","900","324","1224","0","0","0.00067338","4.758584976196289","0.15472674369812012","shard-02","45_cvdp_copilot_hamming_code_tx_and_rx_0001","stop","gen-1780813512-oc9H6vHz0ILUACEj9fiy","NA"
"46","cvdp_copilot_hamming_code_tx_and_rx_0003","PASS","1457","414","1871","0","0","0.000993975","6.677450895309448","0.14670252799987793","shard-03","46_cvdp_copilot_hamming_code_tx_and_rx_0003","stop","gen-1780813521-E1TTLS0A2pQ6QiQI9bZB","NA"
"47","cvdp_copilot_hebbian_rule_0017","PASS","1931","1347","3278","0","0","0.002011875","16.15457034111023","0.1536884307861328","shard-04","47_cvdp_copilot_hebbian_rule_0017","stop","gen-1780813490-erOAxRJbObYD82nThXsv","NA"
"48","cvdp_copilot_hill_cipher_0001","PASS","1552","1438","2990","0","0","0.00192618","23.16555142402649","0.15126347541809082","shard-05","48_cvdp_copilot_hill_cipher_0001","stop","gen-1780813536-oyzvRvFbcqXczKqXkBtG","NA"
"49","cvdp_copilot_load_store_unit_0001","PASS","2615","1260","3875","0","0","0.002233725","16.272552967071533","0.14152741432189941","shard-00","49_cvdp_copilot_load_store_unit_0001","stop","gen-1780813573-D0cMFln3sfBkZ8boKnjx","NA"
"50","cvdp_copilot_matrix_multiplier_0001","PASS","954","20000","20954","0","0","0.01781499","230.2387454509735","0.18435955047607422","shard-01","50_cvdp_copilot_matrix_multiplier_0001","length","gen-1780813554-rNdBfYsn1QFtMS76x1os","NA"
"51","cvdp_copilot_microcode_sequencer_0001","PASS","7633","4900","12533","0","0","0.007583355","53.380587339401245","0.14705562591552734","shard-02","51_cvdp_copilot_microcode_sequencer_0001","stop","gen-1780813517-ro9MI4UiHdNFB7ZRbj0d","NA"
"52","cvdp_copilot_morse_code_0001","FAIL","1462","1344","2806","0","0","0.00180525","13.644248485565186","0.07663249969482422","shard-03","52_cvdp_copilot_morse_code_0001","stop","gen-1780813528-Wr7I17ibYU3o5609r2Z8","NA"
"53","cvdp_copilot_moving_average_0001","PASS","449","422","871","0","0","0.000562455","6.8804521560668945","0.15242743492126465","shard-04","53_cvdp_copilot_moving_average_0001","stop","gen-1780813506-THKVqJ7EKdlKBhmO4S5M","NA"
